[22/09/2015 10:33:12] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:33:12] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:33:12] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:33:12] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:33:12] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:33:12] - [ERROR] - Se trató de crear una entidad de tipo: unknown inexistente en sistema
[22/09/2015 10:35:52] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:35:52] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:35:52] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:35:52] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:35:52] - [ERROR] - yaml-cpp: error at line 0, column 0: bad dereference
[22/09/2015 10:35:53] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:35:53] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:37:28] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:37:28] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:37:28] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:40:57] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:40:57] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:40:57] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:42:27] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:42:27] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:42:27] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
[22/09/2015 10:45:54] - [WARNING] - No se puede agregar entidad: posición no pertenece al mapa
